source;target;correlation
l-threonine;l-cysteine;0.07668482410837953
l-threonine;quinate;-0.4836124725917593
l-threonine;l-2,4-diaminobutyric acid;0.08335317493553465
l-threonine;glyceric acid;-0.4320711996992868
l-threonine;choline;-0.25964854670483384
l-threonine;4-acetamidobutanoate;-0.606349713603264
l-threonine;2-oxoarginine;0.302470580288688
l-threonine;l-glutamic gamma-semialdehyde;-0.20809182798190487
l-threonine;uric acid;-0.4452484646734147
l-threonine;adenine;-0.22202098549518198
l-threonine;deoxyinosine;0.08218116080650772
l-threonine;guanine;0.18354185750343616
l-threonine;sulfate;0.014627764312684843
l-threonine;hypoxanthine;0.11333922553458532
l-threonine;inosine;0.38011084650873084
l-threonine;d-galactose;-0.27605384823368556
l-threonine;alpha-d-glucose;-0.23278392346012614
l-threonine;sucrose;-0.05707287282708654
l-threonine;taurine;-0.406508302639542
l-threonine;acetylphosphate;0.10322083233622018
2-isopropylmalic acid;l-tyrosine;0.5996312270894648
2-isopropylmalic acid;succinic acid;0.5156249763836372
2-isopropylmalic acid;3-(2-hydroxyphenyl)propanoic acid;-0.048151861788446826
2-isopropylmalic acid;phenylacetylglutamine;-0.13848035083226773
2-isopropylmalic acid;l-phenylalanine;0.2721819241963895
2-isopropylmalic acid;phenylacetic acid;0.049930031995855745
2-isopropylmalic acid;putrescine;0.8841201000451265
2-isopropylmalic acid;gamma-glutamylcysteine;0.6984407375400798
2-isopropylmalic acid;pyroglutamic acid;0.6653397105289853
2-isopropylmalic acid;l-cysteine;-0.30745545124373613
2-isopropylmalic acid;quinate;0.6499622614253056
2-isopropylmalic acid;l-2,4-diaminobutyric acid;0.16608507887696053
2-isopropylmalic acid;glyceric acid;0.5895119182431164
2-isopropylmalic acid;choline;0.005837621312350651
2-isopropylmalic acid;4-acetamidobutanoate;0.8929051413499033
2-isopropylmalic acid;2-oxoarginine;0.04041501056631584
2-isopropylmalic acid;l-glutamic gamma-semialdehyde;0.29474733157303235
2-isopropylmalic acid;uric acid;0.3554517425202174
2-isopropylmalic acid;adenine;0.38427130926214903
2-isopropylmalic acid;deoxyinosine;-0.3886451626866198
2-isopropylmalic acid;guanine;0.2914609505290955
2-isopropylmalic acid;sulfate;-0.1863794527653123
2-isopropylmalic acid;hypoxanthine;-0.10479414992636861
2-isopropylmalic acid;inosine;-0.3073437918518176
2-isopropylmalic acid;d-galactose;0.33895018865845505
2-isopropylmalic acid;alpha-d-glucose;0.579183890496412
2-isopropylmalic acid;sucrose;0.16027301575234085
2-isopropylmalic acid;taurine;0.7048347321812284
2-isopropylmalic acid;acetylphosphate;-0.18384224350424502
l-tyrosine;succinic acid;0.4934864290321711
l-tyrosine;3-(2-hydroxyphenyl)propanoic acid;-0.2102676101974551
l-tyrosine;phenylacetylglutamine;0.15297163566489178
l-tyrosine;l-phenylalanine;-0.05744807017470961
l-tyrosine;phenylacetic acid;-0.22882260812880142
l-tyrosine;putrescine;0.500439811171172
l-tyrosine;gamma-glutamylcysteine;0.6820073204718431
l-tyrosine;pyroglutamic acid;0.5121350081774259
l-tyrosine;l-cysteine;-0.02277806478942719
l-tyrosine;quinate;0.3970924257116228
l-tyrosine;l-2,4-diaminobutyric acid;-0.06317325025690188
l-tyrosine;glyceric acid;0.5086977050322813
l-tyrosine;choline;0.05754528715778044
l-tyrosine;4-acetamidobutanoate;0.5840599671966722
l-tyrosine;2-oxoarginine;-0.2317293572270336
l-tyrosine;l-glutamic gamma-semialdehyde;0.06883044015214299
l-tyrosine;uric acid;0.4806423494318597
l-tyrosine;adenine;0.5132879245039033
l-tyrosine;deoxyinosine;-0.09444587666466736
l-tyrosine;guanine;0.22238480988146286
l-tyrosine;sulfate;-0.12886354202219544
l-tyrosine;hypoxanthine;-0.32726113085346853
l-tyrosine;inosine;-0.3033474745689126
l-tyrosine;d-galactose;0.5402157791723379
l-tyrosine;alpha-d-glucose;0.4093287113425148
l-tyrosine;sucrose;0.22614713933198904
l-tyrosine;taurine;0.7686971532404321
l-tyrosine;acetylphosphate;-0.23377451837706612
succinic acid;3-(2-hydroxyphenyl)propanoic acid;-0.3146730388260436
succinic acid;phenylacetylglutamine;0.26887555531284574
succinic acid;l-phenylalanine;0.1817142313998937
succinic acid;phenylacetic acid;0.261150314079598
succinic acid;putrescine;0.5742839822390299
succinic acid;gamma-glutamylcysteine;0.4752154732204063
succinic acid;pyroglutamic acid;0.6451619155085793
succinic acid;l-cysteine;-0.2875200112014401
succinic acid;quinate;0.7386331745666826
succinic acid;l-2,4-diaminobutyric acid;0.11829554501327136
succinic acid;glyceric acid;0.595520838785643
succinic acid;choline;0.09463817052812253
succinic acid;4-acetamidobutanoate;0.6586435228535318
succinic acid;2-oxoarginine;-0.00693126808508684
succinic acid;l-glutamic gamma-semialdehyde;0.3787309734317907
succinic acid;uric acid;0.48893597689585433
succinic acid;adenine;0.4965709980455739
succinic acid;deoxyinosine;-0.4198254368483409
succinic acid;guanine;-0.17216739846194717
succinic acid;sulfate;0.07216875422359689
succinic acid;hypoxanthine;-0.02947109027887477
succinic acid;inosine;-0.30732749090441425
succinic acid;d-galactose;0.7224787780850803
succinic acid;alpha-d-glucose;0.1496493985318768
succinic acid;sucrose;-0.11361310841946805
succinic acid;taurine;0.5228439573844428
succinic acid;acetylphosphate;-0.14455290325460168
3-(2-hydroxyphenyl)propanoic acid;phenylacetylglutamine;-0.19083209525270328
3-(2-hydroxyphenyl)propanoic acid;l-phenylalanine;0.21183181629505793
3-(2-hydroxyphenyl)propanoic acid;phenylacetic acid;-0.14454765494526195
3-(2-hydroxyphenyl)propanoic acid;putrescine;-0.151385867678205
3-(2-hydroxyphenyl)propanoic acid;gamma-glutamylcysteine;-0.1566381166056438
3-(2-hydroxyphenyl)propanoic acid;pyroglutamic acid;-0.016423742313437132
3-(2-hydroxyphenyl)propanoic acid;l-cysteine;-0.23286505036113309
3-(2-hydroxyphenyl)propanoic acid;quinate;-0.117376404509651
3-(2-hydroxyphenyl)propanoic acid;l-2,4-diaminobutyric acid;0.20714844802332172
3-(2-hydroxyphenyl)propanoic acid;glyceric acid;-0.004580906995614581
3-(2-hydroxyphenyl)propanoic acid;choline;-0.5473077676339779
3-(2-hydroxyphenyl)propanoic acid;4-acetamidobutanoate;-0.07146120921495987
3-(2-hydroxyphenyl)propanoic acid;2-oxoarginine;0.5144637605087572
