source;target;correlation_up_healthy;correlation_down_healthy;correlation_up_cancer;correlation_down_cancer
diaminopimelic acid;2-oxoarginine;;0.9931398318818446;;0.16519527629028108
diaminopimelic acid;l-aspartic acid;;0.68766654;;0.056116177
diaminopimelic acid;l-threonine;;-0.03175348;;0.4272675170531451
diaminopimelic acid;l-cysteine;;0.181172997;;0.17105316607418394
diaminopimelic acid;l-arginine;;0.6667463989736513;;0.36280727493538006
2-oxoarginine;l-aspartic acid;;0.6771872720441221;;0.094615212
2-oxoarginine;l-threonine;;-0.064786044;;0.3024705802886879
2-oxoarginine;l-cysteine;;0.154084528;;-0.700749266
2-oxoarginine;l-arginine;;0.6646241535576526;;0.1753266146987745
n-acetylornithine;l-aspartic acid;;;;0.3485837363320617
n-acetylornithine;n-acetyl-l-glutamate 5-semialdehyde;;;;0.12577938082023568
n-acetylornithine;l-arginine;;;;0.078255652
n-acetylornithine;l-valine;;;;0.090560597
n-acetylornithine;l-cysteine;;;;-0.229802503
n-acetylornithine;uric acid;;;;-0.152874012
n-acetylornithine;deoxyinosine;;;;0.49125529239400306
n-acetylornithine;guanine;;;;0.2864663841679428
n-acetylornithine;sulfate;;;;-0.14979166
n-acetylornithine;inosine;;;;0.336641093
n-acetylornithine;l-threonine;;;;0.023622013
n-acetylornithine;choline;;;;0.3201214090372869
n-acetylornithine;cis-4-hydroxy-d-proline;;;;-0.159925618
n-acetylornithine;diaminopimelic acid;;;;-0.427098238
n-acetylornithine;2-oxoarginine;;;;0.11592708918341323
